SCHOOL NAME ,REGION,LOCATION,GENDER,BUSINESS COURSE,TECHINICAL COURSE,AGRICULTURE SCIENCE COURSE,GENERAL ARTS COURSE,VISUAL ARTS COURSE,HOME ECONOMICS COURSE,GENERAL SCIENCE COURSE,NUMBER OF COURSES OFFERED,STATUS
Prampram Senior High,GREATER ACCRA,Prampram,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
St. John's Grammar Senior High,GREATER ACCRA,Achimota,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
West Africa Senior High,GREATER ACCRA,Adenta,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Ngleshie Amanfro Senior High,GREATER ACCRA,Ngleshie Amanfro,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Amasaman Senior High/Tech,GREATER ACCRA,Amasaman,Mixed,No,Yes,Yes,Yes,Yes,Yes,Yes,6,Day
Kwabenya Comm. Senior High,GREATER ACCRA,Kwabenya,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
Frafraha Comm. Senior High,GREATER ACCRA,Frafraha,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Koforidua Senior High/Tech,EASTERN,Koforidua,Mixed,No,Yes,No,Yes,Yes,No,Yes,4,Day
"Pope John Snr. High & Min. Sem., Koforidua",EASTERN,Koforidua,Boys,Yes,No,No,Yes,Yes,No,Yes,4,Day
New Juaben Senior High/Com,EASTERN,Koforidua,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"Ghana Senior High, Koforidua ",EASTERN,Koforidua,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Oti Boateng Senior High ,EASTERN,Ada/Koforidua,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Oyoko Methodist  Senior High,EASTERN,Oyoko,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"Pentecost Senior High,Koforidua",EASTERN,Koforidua,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
"S.D.A Senior High, Koforidua",EASTERN,Asokore-Koforidua,Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day
Suhum Senior High/Tech,EASTERN,Suhum,Mixed,Yes,Yes,No,Yes,Yes,No,Yes,5,Day/Boarding
"Presby Senior High, Suhum",EASTERN,Suhum,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Kraboa-Coaltar Presby Snr. High/Tech.,EASTERN,KraboaCoaltar,Mixed,No,Yes,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"Islamic Girls Senior High,Suhum",EASTERN,Korase-Suhum,Girls,Yes,No,No,Yes,Yes,Yes,No,4,Day/Boarding
Aburi Girls Senior High,EASTERN,Aburi,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Adonten Senior High,EASTERN,Aburi,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"St. Martin's Senior High, Nsawam",EASTERN,Nsawam,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Nsawam Senior High,EASTERN,Nsawam,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
"Presby Senior High/Tech, Aburi",EASTERN,Aburi,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Diaspora Girls' Senior High,EASTERN,ObodanNsawam,Girls,Yes,No,No,Yes,Yes,Yes,No,4,Day/Boarding
Nifa Senior High,EASTERN,Adukrom,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
