SCHOOL NAME ,REGION,LOCATION,GENDER,BUSINESS COURSE,TECHINICAL COURSE,AGRICULTURE SCIENCE COURSE,GENERAL ARTS COURSE,VISUAL ARTS COURSE,HOME ECONOMICS COURSE,GENERAL SCIENCE COURSE,NUMBER OF COURSES OFFERED,STATUS
St. Sebastian Cath. Senior High,ASHANTI,Adumasa,Mixed,No,No,Yes,Yes,No,No,No,2,Day
Bosomtwe Oyoko Comm. Senior High,ASHANTI,Bosomtwe Oyoko,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Osei Adutwum Senior High,ASHANTI,Jachie,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
Afua Kobi Ampem Girls' Senior High,ASHANTI,Trabuom,Girls,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Beposo Senior High ,ASHANTI,Beposo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
"Wesley Senior High, Konongo .",ASHANTI,Konongo,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"St. Mary's Girl's Senior High, Konongo",ASHANTI,Konongo,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Effiduase Senior High/Com ,ASHANTI,Effiduase,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Tweneboa Kodua Senior High,ASHANTI,Kumawu,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
"T. I. Ahmadiyya Girl's Senior High, Asokore",ASHANTI,Asokore ,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Dadease Agric Senior High,ASHANTI,Dadease,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Tijjaniya Senior High ,ASHANTI,Asokore ,Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day/Boarding
Effiduase Senior High/Tech,ASHANTI,Effiduase,Mixed,No,Yes,No,Yes,Yes,Yes,No,4,Day
Bodomase Senior High/Tech,ASHANTI,Bodomase,Mixed,Yes,Yes,No,Yes,No,No,No,3,Day
Twene Amanfo Senior High/Tech.,BRONG AHAFO,Sunyani,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
Chiraa Senior High,BRONG AHAFO,Chiraa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Odomaseman Senior High,BRONG AHAFO,Odomase,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Sunyani Senior High,BRONG AHAFO,Sunyani,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
"Sacred Heart Senior High, Nsoatre",BRONG AHAFO,Nsoatre,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"St. James Sem & Senior High, Abesim",BRONG AHAFO,Abesim,Boys,Yes,No,No,Yes,No,No,Yes,3,Day
"Notre Dame Girls Senior High, Sunyani",BRONG AHAFO,Sunyani,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
"S.D.A Senior High, Sunyani",BRONG AHAFO,Sunyani,Mixed,Yes,No,No,Yes,No,No,No,2,Day
Bechem Presby Senior High,AHAFO,Bechem,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Samuel Otu Presby Senior High.,AHAFO,Techimantia,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Serwaa Kesse Girls Senior High,AHAFO,Duayaw Nkwanta,Girls,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Bomaa Comm. Senior High,AHAFO,Bomaa,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Boakye Tromo Senior High/Tech,AHAFO,Duayaw Nkwanta,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Derma Comm. Day School,AHAFO,Derma,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Yamfo Anglican Senior High School,AHAFO,Yamfo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Berekum Senior High,BRONG AHAFO,Berekum ,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Jinijini Senior High,BRONG AHAFO,Jinijini,Mixed,No,No,Yes,Yes,Yes,Yes,Yes,5,Day/Boarding
Berekum Presby Senior High,BRONG AHAFO,Berekum ,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
"Methodist Senior High/Tech.,Biadan",BRONG AHAFO,Biadan,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
"St. Augustine Senior High, Nsapor-",BRONG AHAFO,Nsapor-Berekum,Mixed,Yes,No,No,Yes,No,No,No,2,Day
Yeji Senior High/Tech,BONO EAST,Yeji,Mixed,Yes,Yes,No,Yes,No,Yes,Yes,5,Day
Atebubu Senior High,BONO EAST,Atebubu,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Prang Senior High,BONO EAST,Prang,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Amanten Senior High,BONO EAST,Amanten,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Abeaseman Comm. Day Senior High,BONO EAST,Abease,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Drobo Senior High,BRONG AHAFO,Drobo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Nafana Senior High,BRONG AHAFO,Sampa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Sumaman Senior High,BRONG AHAFO,Suma-Ahenkro,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
Goka Senior High/Tech.,BRONG AHAFO,Goka,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
Our Lady of Providence Senior High,BRONG AHAFO,Kwasi Buokrom,Girls,Yes,No,No,Yes,No,Yes,Yes,4,Day/Boarding
Diamono Senior High Sch.,BRONG AHAFO,Duadaso No.2,Mixed,Yes,No,No,Yes,No,No,Yes,3,Day
Duadaso No. 1 Senior High/Tech.,BRONG AHAFO,Duadaso,Mixed,Yes,Yes,No,Yes,No,No,No,3,Day
"St. Ann's Girls Senior High, Sampa",BRONG AHAFO,Sampa,Girls,No,No,No,Yes,No,Yes,No,2,Day
Wenchi Meth. Senior High,BRONG AHAFO,Wenchi,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Badu Senior High/Tech.,BRONG AHAFO,Badu/Wenchi,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
Koase Senior High/Tech,BRONG AHAFO,Koase/Wenchi,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Nkoranman Senior High,BRONG AHAFO,Seikwa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Menji Senior High,BRONG AHAFO,Menji,Mixed,Yes,No,Yes,Yes,Yes,No,No,4,Day
Istiquaama Snr. High,BRONG AHAFO,Wenchi,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Nsawkaw State Senior High,BRONG AHAFO,Nsawkaw,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
Bandaman Senior High,BRONG AHAFO,Banda Ahenkro,Mixed,Yes,Yes,No,Yes,No,No,No,3,Day
Nkyeraa Senior High Sch.,BRONG AHAFO,Nchiraa,Mixed,Yes,No,Yes,Yes,No,Yes,No,4,Day
New Longoro Comm.School (Dega),BONO EAST,New Longoro,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Techiman Senior High,BONO EAST,Techiman,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Ameyaw Akumfi Senior High/Tech.,BONO EAST,Aworowa,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Tuobodom Senior High/Tech,BONO EAST,Tuobodom,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
"St. Francis Seminary/Senior High, Buoyem",BONO EAST,Buoyem,Boys,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Guakro Effah Senior High,BONO EAST,Offuman,Mixed,Yes,No,Yes,Yes,No,Yes,No,4,Day
"Our Lady of Mount Carmel Girls Senior High, Techiman",BONO EAST,Techiman,Girls,Yes,No,No,Yes,No,Yes,Yes,4,Day/Boarding
Yeboah Asuamah Senior High,BONO EAST,Nsuta,Mixed,Yes,No,No,Yes,No,Yes,No,3,Day
Kesse Basahyia Senior High,BONO EAST,Techiman Oforikrom,Mixed,Yes,No,No,Yes,No,Yes,No,3,Day
Gyarko Comm. Day Senior High,BONO EAST,Techiman,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Kwarteng Ankomah Senior High,BONO EAST,Tanoso-Techmian,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Kintampo Senior High,BONO EAST,Kintampo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Jema Senior High,BONO EAST,Jema,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Krobo Comm.Senior High,BONO EAST,Krobo,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Nkoranza Senior High/Tech,BONO EAST,Nkoranza,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Busunya Senior High ,BONO EAST,Busunya,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Osei Bonsu Senior High,BONO EAST,Yefri,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Kwabre Senior High,BONO EAST,Akuma,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Dormaa Senior High,BRONG AHAFO,Dormaa Ahenkro,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Wamanafo Senior High/Tech,BRONG AHAFO,Wamanafo,Mixed,Yes,Yes,Yes,Yes,No,No,No,4,Day/Boarding
Mansen Senior High Sch.,BRONG AHAFO,Wamfie,Mixed,Yes,No,Yes,Yes,Yes,No,No,4,Day
Nkrankwanta Comm Senior High,BRONG AHAFO,Nkrankwanta,Mixed,Yes,Yes,Yes,Yes,No,No,Yes,5,Day/Boarding
"Salvation Army Senior High, Aboabo Dormaa",BRONG AHAFO,Aboabo-Dormaa,Mixed,Yes,No,No,Yes,No,Yes,No,3,Day
Kwame Danso Senior High/Tech,BONO EAST,Kwame Danso,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
Kajaji Senior High,BONO EAST,Kajaji,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
"OLA Girls Senior High, Kenyasi ",AHAFO,Kenyasi,Girls,Yes,No,No,Yes,No,Yes,Yes,4,Day
Acherensua Senior High,AHAFO,Acherensua,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Hwidiem Senior High,AHAFO,Hwidiem,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Gyamfi Kumanini Senior High/Tech,AHAFO,Wamahinso,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Mim Senior High ,AHAFO,Mim,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Ahafoman Senior High/Tech,AHAFO,Goaso,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
Kukuom Agric Senior High,AHAFO,Kukuom,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Sankore Senior High,AHAFO,Sankore,Mixed,Yes,No,No,Yes,Yes,No,No,3,Day
"OLA Girls Senior High, Ho",VOLTA,Ho,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"Mawuli School, Ho",VOLTA,Ho,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Avatime Senior High,VOLTA,Vane,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Awudome Senior High .,VOLTA,Tsito,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Kpedze Senior High,VOLTA,Kpedze,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
E.P.C. Mawuko Girls Senior High,VOLTA,Ho,Girls,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Taviefe Comm. Senior High,VOLTA,Taviefe,Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day/Boarding
Adaklu Senior High,VOLTA,Adaklu,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Dzolo Senior High,VOLTA,Dzolo,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Tsito Senior High/Tech,VOLTA,Tsito,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Akome Senior High/Tech.,VOLTA,Akome,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Tanyigbe Senior High,VOLTA,Tanyigbe,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Agotime Senior High,VOLTA,Kpetoe,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Abutia Senior High/Tchnical,VOLTA,Abutia,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Sokode Senior High/Tech,VOLTA,Sokode,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Shia Senior HighTechnical,VOLTA,Shia,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Ziope Senior High Sch.,VOLTA,Ziope,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Krachi Senior High,OTI,Kete-Krachi,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Kete Krachi Senior High/Tech.,OTI,Kete-Krachi,Mixed,Yes,Yes,Yes,Yes,No,No,No,4,Day
Oti Senior High/Tech Sch,OTI,Dambai,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
Asukawkaw Senior High,OTI,Asukawkaw,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Nchumuruman Comm. Day Senior High,OTI,Chinderi,Mixed,Yes,No,Yes,Yes,No,Yes,No,4,Day
Yabram Comm. Day School,OTI,Dambai,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Nkwanta Senior High,OTI,Nkwanta,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Ntruboman Senior High,OTI,Brewaniase,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Kpassa Senior High/Tech,OTI,Kpassa,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Nkwanta Comm.Senior High,OTI,Nkwanta,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Kyabobo Girls Senior High,OTI,Nkwanta,Girls,Yes,No,No,Yes,No,Yes,Yes,4,Day
Akatsi Senior High/Tech,VOLTA,Akatsi,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Ave Senior High,VOLTA,Ave-Dakpa,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Avenor Senior High,VOLTA,Avenorkpeme,Mixed,Yes,No,Yes,Yes,No,No,Yes,4,Day
Anlo Senior High,VOLTA,Anloga,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Keta Senior High/Tech .,VOLTA,Keta,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Abor Senior High,VOLTA,Abor,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Keta Business Senior High,VOLTA,Keta,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Zion Senior High,VOLTA,Anloga,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Atiavi Senior High/Tech,VOLTA,Atiavi,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
Anlo Afiadenyigba Senior High,VOLTA,Anlo Afiadenyigba,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Anlo Awomefia Senior High,VOLTA,Anyako,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Tsiame Senior High,VOLTA,Tsiame,Mixed,Yes,Yes,No,Yes,No,Yes,No,4,Day
St. Catherine Girls Senior High,VOLTA,Agbakope,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Volta Senior High School,VOLTA,Dzita-Agbledomi,Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day
Bishop Herman College,VOLTA,Kpando,Boys,Yes,No,Yes,Yes,Yes,No,Yes,5,Day/Boarding
Kpando Senior High .,VOLTA,Kpando,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Peki Senior High,VOLTA,Peki,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Anfoega Senior High,VOLTA,Anfoega,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Vakpo Senior High,VOLTA,Vakpo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Vakpo Senior High/Tech,VOLTA,Vakpo,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day/Boarding
Peki Senior High/Technical,VOLTA,Peki,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Kpeve Senior High,VOLTA,Kpeve,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day/Boarding
Tongor Senior High Tech.,VOLTA,Kpeve,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
"St. Paul's Senior High, Denu",VOLTA,Hatsukope/ Denu,Boys,Yes,No,No,Yes,Yes,No,Yes,4,Day/Boarding
Some Senior High,VOLTA,Agbozume,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Dzodze Penyi Senior High,VOLTA,Dzodze,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Three Town Senior High,VOLTA,Denu,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Klikor Senior High/Tech.,VOLTA,Klikor,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Wovenu Senior High Technical,VOLTA,Tadzewu,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Weta Senior High/Tech.,VOLTA,Weta,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day/Boarding
Afife Senior High Tech.,VOLTA,Afife,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day/Boarding
Adidome Senior High,VOLTA,Adidome,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Mafi-Kumasi Senior High/Tech,VOLTA,Mafi-Kumasi,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Aveyime Battor Senior High/Tech.,VOLTA,AveyimeBattor,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
Mepe St. Kizito Senior High/Tech.,VOLTA,Mepe,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Dofor Senior High,VOLTA,Juapong ,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Battor Senior High,VOLTA,Battor,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Volo Comm. Senior High,VOLTA,Volo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Sogakope Senior High,VOLTA,Sogakope,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Dabala Senior High/Tech.,VOLTA,Dabala ,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Likpe Senior High,VOLTA,Likpe-Mate,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Akpafu Senior High/Tech.,VOLTA,Akpafu,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Agate Comm. Senior High,VOLTA,Agate,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Leklebi Senior High,VOLTA,Leklebi,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"St. Mary's Sem.& Senior High, Lolobi",VOLTA,Lolobi,Boys,Yes,No,No,Yes,No,No,Yes,3,Day/Boarding
E. P. Senior High,VOLTA,Hohoe,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Afadjato Senior High/Tech.,VOLTA,Gbledi-Gbogame,Mixed,Yes,Yes,Yes,Yes,No,Yes,No,5,Day/Boarding
Alavanyo Senior High/Tech.,VOLTA,Alavanyo-Kpeme,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
Ve Comm. Senior High,VOLTA,Ve-Koloenu,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Jim Bourton Mem Agric. Senior High,VOLTA,Logba Adzokoe,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Bueman Senior High .,OTI,Jasikan,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Worawora Senior High,OTI,Worawora,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Nkonya Senior High,OTI,Nkonya-Ahenkro,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Okadjakrom Senior High/Tech.,OTI,Okadjakrom,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Baglo  Ridge Senior High/Tech.,OTI,Baglo,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day
Tapaman Senior High/Tech,OTI,Tapa-Amanfrom,Mixed,Yes,Yes,No,Yes,Yes,No,No,4,Day
Bowiri Comm. Day School,OTI,Bowiri,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Kadjebi-Asato Senior High,OTI,Kadjeto-Asato,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Dodi-Papase Senior High/Tech,OTI,Dodi Papase,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Ahamansu Islamic Senior High School,OTI,Ahamansu,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Tamale Senior High .,NORTHERN,Tamale,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
"Ghana Senior High, Tamale",NORTHERN,Tamale,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Northern School of Business,NORTHERN,Tamale,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
"Business Senior High, Tamale",NORTHERN,Tamale,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
Kalpohin Senior High,NORTHERN,Tamale,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Vitting Senior High/Tech.,NORTHERN,Tamale,Mixed,No,Yes,Yes,Yes,Yes,Yes,No,5,Day/Boarding
"St. Charles Senior High, Tamale",NORTHERN,Tamale,Boys,Yes,No,Yes,Yes,No,No,Yes,4,Day/Boarding
"Islamic Science Senior High, Tamale",NORTHERN,Tamale,Mixed,No,No,Yes,No,No,Yes,Yes,3,Day
Tamale Girls Senior High ,NORTHERN,Tamale,Girls,Yes,No,No,Yes,No,Yes,Yes,4,Day/Boarding
"Presby Senior High, Tamale",NORTHERN,Tamale,Mixed,Yes,No,No,Yes,No,Yes,No,3,Day
Anbariya Senior High Sch.,NORTHERN,Tamale,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Damongo Senior High,SAVANNAH,Damongo,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Ndewura Jakpa Senior High/Tech.,SAVANNAH,Damongo,Mixed,No,Yes,Yes,Yes,Yes,Yes,No,5,Day
Sawla Senior High Sch.,SAVANNAH,Sawla,Mixed,Yes,No,No,Yes,No,Yes,No,3,Day
Salaga Senior High,SAVANNAH,Salaga,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Kpandai Senior High,NORTHERN,Kpandai,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Salaga T.I. Ahmad Senior High,SAVANNAH,Salaga,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Bimbilla Senior High,NORTHERN,Bimbilla,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Wulensi Senior High,NORTHERN,Wulensi,Mixed,Yes,No,Yes,Yes,No,No,Yes,4,Day/Boarding
Nalerigu Senior High,NORTH EAST,Nalerigu,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Bunkpurugu Senior High/Tech,NORTH EAST,Bunkupurugu,Mixed,No,Yes,Yes,Yes,No,Yes,No,4,Day
Nakpanduri Senior High,NORTH EAST,Nakpanduri,Mixed,Yes,No,No,Yes,No,Yes,No,3,Day/Boarding
Gambaga Girls Senior High,NORTH EAST,Gambaga,Girls,Yes,No,No,Yes,No,Yes,No,3,Day
Walewale Senior High,NORTH EAST,Walewele,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day/Boarding
Wulugu Senior High,NORTH EAST,Wulugu,Mixed,No,No,Yes,Yes,No,Yes,No,3,Day/Boarding
Yagaba Senior High School,NORTH EAST,Yagaba,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
Bole Senior High,SAVANNAH,Bole ,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Tuna Senior High/Tech.,SAVANNAH,Tuna,Mixed,Yes,Yes,Yes,Yes,No,Yes,No,5,Day/Boarding
St. Anthony of Padua Senior High/Tech,SAVANNAH,Bamboi,Mixed,Yes,Yes,No,Yes,No,Yes,No,4,Day
Bamboi Comm. Senior High,SAVANNAH,Bamboi,Mixed,Yes,No,Yes,Yes,No,Yes,No,4,Day
Yendi Senior High .,NORTHERN,Yendi,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Dagbon State Senior High/Tech,NORTHERN,Yendi,Mixed,No,Yes,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Sang Comm. Day School,NORTHERN,Sang,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Chereponi Senior High/Tech.,NORTH EAST,Chereponi,Mixed,No,No,Yes,Yes,No,Yes,Yes,4,Day
Saboba E.P. Senior High,NORTHERN,Saboba,Mixed,No,No,Yes,Yes,No,Yes,Yes,4,Day
Wapuli Comm. Senior High,NORTHERN,Wapuli,Mixed,No,No,No,Yes,No,Yes,Yes,3,Day
Gushegu Senior High,NORTHERN,Gushegu,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Zabzugu Senior High,NORTHERN,Zabzugu,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Tatale E. P. Agric Senior High/Tech.,NORTHERN,Tatale,Mixed,No,No,Yes,Yes,No,Yes,No,3,Day
Tolon Senior High,NORTHERN,Tolon,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Kumbungu Senior High,NORTHERN,Kumbungu,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day/Boarding
Savelugu Senior High,NORTHERN,Savelugu,Mixed,Yes,No,No,Yes,No,Yes,Yes,4,Day
